Method,Dataset,Recall@1,Recall@5,Recall@10,Recall@20
AlexNet_VPR,MY_DATASET,0.09545454545454546,0.2318181818181818,0.2909090909090909,0.39090909090909093
AMOSNet,MY_DATASET,0.22727272727272727,0.3409090909090909,0.4318181818181818,0.5363636363636364
CALC,MY_DATASET,0.05,0.11818181818181818,0.22272727272727272,0.35
CoHOG,MY_DATASET,0.25,0.37272727272727274,0.4318181818181818,0.5045454545454545
HOG,MY_DATASET,0.01818181818181818,0.05,0.10454545454545454,0.15
HybridNet,MY_DATASET,0.2636363636363636,0.39090909090909093,0.5045454545454545,0.6136363636363636
NetVLAD,MY_DATASET,0.5681818181818182,0.7136363636363636,0.7954545454545454,0.8727272727272727
RegionVLAD,MY_DATASET,0.2863636363636364,0.4863636363636364,0.5727272727272728,0.6409090909090909
AlexNet_VPR,corridor,0.6936936936936937,0.8918918918918919,0.9459459459459459,0.954954954954955
AMOSNet,corridor,0.8468468468468469,0.990990990990991,1.0,1.0
CALC,corridor,0.04504504504504504,0.10810810810810811,0.21621621621621623,0.34234234234234234
CoHOG,corridor,0.036036036036036036,0.09009009009009009,0.18018018018018017,0.3153153153153153
HOG,corridor,0.4774774774774775,0.7207207207207207,0.8288288288288288,0.8918918918918919
HybridNet,corridor,0.9009009009009009,0.990990990990991,1.0,1.0
NetVLAD,corridor,0.6756756756756757,0.9369369369369369,0.990990990990991,1.0
RegionVLAD,corridor,0.43243243243243246,0.7117117117117117,0.8198198198198198,0.9279279279279279
